NM_MUNICIPIO,VOTOS_BOLSONARO,VOTOS_LULA
ABIDJÃ,15.0,26.0
ABU DHABI,593.0,404.0
ACCRA,4.0,14.0
AMSTERDÃ,1242.0,4511.0
AMÃ,125.0,407.0
ANCARA,8.0,20.0
ARTIGAS,292.0,125.0
ASSUNÇÃO,920.0,317.0
ATENAS,242.0,193.0
ATLANTA,3373.0,1180.0
BANGKOK,50.0,47.0
BARCELONA,1053.0,3246.0
BAREIN,25.0,11.0
BEIRUTE,1099.0,1591.0
BELGRADO,12.0,36.0
BERLIM,1011.0,6206.0
BISSAU,25.0,20.0
BOGOTÁ,293.0,380.0
BOSTON,10960.0,3508.0
BRATISLAVA,19.0,43.0
BRUXELAS,1444.0,2115.0
BUCARESTE,19.0,38.0
BUDAPESTE,83.0,481.0
BUENOS AIRES,2240.0,4373.0
CAIENA,722.0,598.0
CAIRO,23.0,46.0
CAMBERRA,709.0,1264.0
CANTÃO,61.0,27.0
CARACAS,6.0,
CHICAGO,1251.0,1586.0
CIDADE DO CABO,62.0,100.0
CIUDAD DEL ESTE,2719.0,238.0
CIUDAD GUAYANA,,
COCHABAMBA,169.0,101.0
CONCEPCIÓN,32.0,3.0
COPENHAGUE,198.0,1047.0
CÓRDOBA,161.0,180.0
DACAR,28.0,39.0
DAR ES SALAAM,2.0,6.0
DOHA,221.0,151.0
DUBLIN,1339.0,6023.0
DÍLI,37.0,22.0
ENCARNACIÓN,121.0,16.0
ESTOCOLMO,542.0,1785.0
FARO,862.0,934.0
FRANKFURT,1453.0,3647.0
GENEBRA,2279.0,2320.0
GEORGETOWN,58.0,8.0
GUATEMALA,108.0,35.0
HAMAMATSU,4916.0,841.0
HANÓI,6.0,13.0
HARTFORD,933.0,525.0
HAVANA,,32.0
HELSINQUE,163.0,444.0
HONG KONG,95.0,80.0
HOUSTON,2748.0,1458.0
ISTAMBUL,44.0,76.0
JACARTA,32.0,15.0
KATMANDU,13.0,2.0
KINGSTON-JAMAICA,10.0,11.0
KINSHASA,9.0,1.0
KUAITE,29.0,10.0
KUALA LUMPUR,26.0,32.0
LA PAZ,126.0,74.0
LAGOS,4.0,21.0
LIMA,430.0,314.0
LISBOA,7085.0,12872.0
LIUBLIANA,21.0,52.0
LONDRES,6004.0,9064.0
LOS ANGELES,2014.0,1955.0
LUANDA,99.0,124.0
LUSACA,1.0,13.0
MADRI,2410.0,3078.0
MANILA,34.0,22.0
MANÁGUA,38.0,34.0
MAPUTO,166.0,140.0
MASCATE,32.0,14.0
MENDOZA,88.0,56.0
MEXICO,696.0,633.0
MIAMI,13187.0,3058.0
MILÃO,3044.0,3371.0
MONTEVIDÉU,540.0,745.0
MONTREAL,1741.0,3871.0
MOSCOU,23.0,46.0
MUMBAI,4.0,11.0
MUNIQUE,1559.0,3534.0
NAGÓIA,12704.0,2117.0
NAIRÓBI,25.0,35.0
NASSAU,14.0,9.0
NICOSIA,9.0,15.0
NOVA DELHI,14.0,23.0
NOVA YORK,6068.0,5331.0
OSLO,197.0,628.0
OTTAWA,381.0,680.0
PANAMA,392.0,252.0
PARAMARIBO,354.0,131.0
PARIS,1622.0,7885.0
PEDRO JUAN CABALLERO,260.0,98.0
PEQUIM,23.0,47.0
PORT OF SPAIN,15.0,16.0
PORTO,5134.0,9450.0
PORTO PRÍNCIPE,3.0,2.0
PRAGA,73.0,286.0
PRAIA,22.0,40.0
PRETÓRIA,207.0,83.0
PUERTO IGUAZÚ,,5.0
QUITO,255.0,115.0
RABAT,8.0,38.0
RAMALLAH,61.0,584.0
RIADE,18.0,38.0
RIO BRANCO,9.0,13.0
ROMA,1648.0,2449.0
SALTO DEL GUAIRÁ,549.0,29.0
SANTA CRUZ DE LA SIERRA,870.0,138.0
SANTIAGO,922.0,905.0
SEUL,70.0,126.0
SINGAPURA,131.0,230.0
SYDNEY,1863.0,3057.0
SÃO DOMINGOS,138.0,80.0
SÃO FRANCISCO,1568.0,2447.0
SÃO JOSÉ,200.0,166.0
SÃO SALVADOR,44.0,27.0
SÓFIA,7.0,24.0
TAIPÉ,132.0,101.0
TALIN,23.0,156.0
TEERÃ,9.0,8.0
TEGUCIGALPA,47.0,29.0
TEL AVIV,405.0,353.0
TORONTO,4111.0,5188.0
TUNIS,4.0,8.0
TÓQUIO,10020.0,2454.0
VANCOUVER,1980.0,3442.0
VARSÓVIA,68.0,212.0
VIENA,379.0,960.0
WASHINGTON,2494.0,2552.0
WELLINGTON,164.0,389.0
WINDHOEK,31.0,4.0
XANGAI,62.0,125.0
ZAGREB,15.0,26.0
ZURIQUE,2762.0,3189.0
