NM_MUNICIPIO,VOTOS_BOLSONARO,VOTOS_HADDAD
ABIDJÃ,10.0,17.0
ABU DHABI,539.0,138.0
ACCRA-GANA,5.0,9.0
AMÃ,119.0,231.0
ANCARA,8.0,7.0
ARTIGAS,319.0,83.0
ASSUNÇÃO,881.0,213.0
ATENAS,276.0,99.0
ATLANTA,2906.0,393.0
BANGKOK,53.0,21.0
BARCELONA,806.0,939.0
BEIRUTE,1041.0,941.0
BELGRADO,10.0,16.0
BERLIM,768.0,1832.0
BISSAU,14.0,13.0
BOGOTÁ,284.0,180.0
BOSTON,11786.0,1827.0
BRATISLAVA,26.0,15.0
BRUXELAS,1049.0,746.0
BUCARESTE,14.0,7.0
BUDAPESTE,56.0,54.0
BUENOS AIRES,1365.0,1566.0
CAIENA,950.0,551.0
CAIRO,24.0,20.0
CAMBERRA,539.0,283.0
CANTÃO,82.0,5.0
CARACAS,360.0,67.0
CHICAGO,1216.0,528.0
CHUY,10.0,4.0
CIDADE DO CABO,64.0,50.0
CIUDAD DEL ESTE,2196.0,193.0
CIUDAD GUAYANA,32.0,4.0
COCHABAMBA,97.0,23.0
CONCEPCIÓN,40.0,
COPENHAGUE-DINA,190.0,420.0
CÓRDOBA,157.0,152.0
DACAR,32.0,24.0
DAR ES SALAAM,6.0,7.0
DOHA,160.0,39.0
DUBLIN,437.0,510.0
DÍLI,27.0,11.0
ENCARNACIÓN,93.0,18.0
ESTOCOLMO,421.0,666.0
FARO,564.0,227.0
FRANKFURT,1276.0,1327.0
GENEBRA,1846.0,1077.0
GEORGETOWN,47.0,8.0
GUATEMALA,103.0,20.0
HAMAMATSU,4677.0,399.0
HANÓI,7.0,10.0
HARTFORD,831.0,141.0
HAVANA,7.0,19.0
HELSINQUE,154.0,180.0
HONG KONG-HONG,225.0,54.0
HOUSTON,2663.0,615.0
ISTAMBUL,55.0,35.0
JACARTA,16.0,9.0
KATMANDU,12.0,8.0
KIEV,17.0,7.0
KINGSTON-JAMAICA,17.0,3.0
KINSHASA,13.0,6.0
KUAITE,26.0,21.0
KUALA LUMPUR,34.0,20.0
LA PAZ,146.0,69.0
LAGOS,8.0,14.0
LIMA,429.0,151.0
LISBOA,4475.0,2473.0
LIUBLIANA,14.0,15.0
LONDRES,5227.0,3268.0
LOS ANGELES,1846.0,721.0
LUANDA,91.0,67.0
LUSACA,15.0,2.0
MADRI,2109.0,1416.0
MANILA,38.0,8.0
MANÁGUA,36.0,23.0
MAPUTO,179.0,106.0
MASCATE,32.0,4.0
MENDOZA,68.0,36.0
MIAMI,10441.0,1028.0
MILÃO,2851.0,1517.0
MONTEVIDÉU,660.0,453.0
MONTREAL,1879.0,1759.0
MOSCOU,17.0,26.0
MUNIQUE,1566.0,1428.0
MÉXICO-MEXI,674.0,305.0
NAGÓIA,10538.0,912.0
NAIRÓBI,16.0,19.0
NASSAU,16.0,4.0
NICOSIA,13.0,9.0
NOVA DELHI,16.0,14.0
NOVA YORK,6811.0,2105.0
OSLO,210.0,249.0
OTTAWA,348.0,242.0
PANAMÁ-PAN,471.0,90.0
PARAMARIBO,390.0,122.0
PARIS,1299.0,2953.0
PEDRO JUAN CABALLERO,184.0,62.0
PEQUIM,27.0,29.0
PORT OF SPAIN,27.0,4.0
PORTO,3151.0,1674.0
PORTO PRÍNCIPE,17.0,9.0
PRAGA,67.0,71.0
PRAIA,8.0,24.0
PRETÓRIA,206.0,50.0
QUITO,245.0,95.0
RABAT,6.0,16.0
RAMALLAH-PALE,51.0,467.0
RIADE,22.0,14.0
RIO BRANCO,10.0,7.0
ROMA,1755.0,1296.0
ROTTERDÃ,900.0,1047.0
SALTO DEL GUAIRÁ,285.0,14.0
SANTIAGO,923.0,431.0
SEUL,38.0,20.0
SINGAPURA-SING,164.0,59.0
STA C LA SIERRA-BOLI,1026.0,130.0
SYDNEY,1351.0,718.0
SÃO DOMINGOS,167.0,49.0
SÃO FRANCISCO,1734.0,1068.0
SÃO JOSÉ,188.0,70.0
SÃO SALVADOR,60.0,15.0
TAIPÉ,178.0,38.0
TALIN,12.0,26.0
TEERÃ,22.0,7.0
TEGUCIGALPA,52.0,26.0
TEL AVIV,391.0,115.0
TORONTO,3845.0,1581.0
TUNIS,14.0,9.0
TÓQUIO,11863.0,1417.0
VANCOUVER,1286.0,637.0
VARSÓVIA,38.0,39.0
VIENA,371.0,466.0
WASHINGTON,2703.0,1191.0
WELLINGTON,179.0,128.0
WINDHOEK,11.0,7.0
XANGAI,151.0,48.0
ZAGREB,8.0,5.0
ZURIQUE,2948.0,1835.0
